Feature	Mean_Importance	Std_Importance
var401	0.002375208	0.006715141
var133	0.0023745352	0.0030962809
var263	0.002373909	0.005570782
var125	0.0023723806	0.002175773
var108	0.0023588273	0.0022013306
var340	0.0023484528	0.004595698
var92	0.0023447117	0.0024697427
var339	0.0023420015	0.0044842134
var288	0.0023274473	0.0042498326
var195	0.0023254969	0.0031352649
var357	0.0023230861	0.0048228353
var97	0.0023164772	0.0037258195
var173	0.0022998943	0.0045014317
var87	0.0022776134	0.002095911
var268	0.0022675511	0.004152872
var327	0.0022577604	0.003907392
var352	0.0022565944	0.0043971776
var14	0.0022519478	0.0013771855
var358	0.0022344994	0.0061211325
var26	0.0022288335	0.0016611002
var229	0.002224883	0.003722841
var333	0.0022244584	0.005985564
var134	0.0022183147	0.003662665
var41	0.0021982798	0.0019336115
var186	0.0021982146	0.0032355357
var122	0.002183426	0.0037197564
var181	0.0021607338	0.0028831472
var11	0.0021582015	0.0011122432
var8	0.002152753	0.003452296
var219	0.00214384	0.0035678486
var31	0.0021382128	0.001889308
var17	0.0021261084	0.0011558501
var370	0.0021249568	0.0043055196
var90	0.0021181745	0.0022340927
var318	0.0021144152	0.004538167
var222	0.0021119046	0.0027255083
var282	0.0021014393	0.0034207825
var228	0.0020835968	0.0037886102
var243	0.002074327	0.0022652522
var341	0.002067918	0.0062942756
var335	0.0020659035	0.0039694095
var131	0.002057709	0.0024159306
var9	0.0020489679	0.0021327385
var142	0.0020488831	0.0020099597
var120	0.0020373957	0.0041503403
var136	0.0020326683	0.0021677406
var28	0.0020158798	0.0017867802
var409	0.0020125434	0.0044525526
var328	0.0020071573	0.0031302965
var356	0.0020030434	0.0039213668
var403	0.0020023554	0.0047212318
var286	0.0020021459	0.0056174044
var388	0.0019948883	0.0035073776
var76	0.0019846978	0.0028455935
var350	0.0019792363	0.004395484
var116	0.0019788889	0.0028372456
var240	0.001974228	0.0017518572
var250	0.00196503	0.0059113293
var307	0.0019641363	0.0042347666
var64	0.0019635602	0.004180088
var71	0.001961696	0.001818884
var110	0.001958312	0.0021332775
var295	0.0019517058	0.005108308
var294	0.0019459209	0.0036065718
var23	0.0019427916	0.0015017823
var344	0.0019415568	0.0052041076
var220	0.0019340729	0.0032467903
var279	0.0019294992	0.0048794136
var253	0.0019193547	0.0014192291
var115	0.0019170546	0.001646572
var83	0.0019122378	0.0018436486
var214	0.0019075534	0.002961818
var360	0.0019074994	0.0039343648
var230	0.0019058137	0.0030148497
var281	0.0019055755	0.0028669557
var151	0.0019010756	0.0018382111
var169	0.0018942631	0.0028241454
var156	0.0018897894	0.0025723085
var12	0.0018878451	0.001204443
var343	0.0018819897	0.004546501
var155	0.0018764501	0.002194498
var225	0.001870589	0.0026637774
var74	0.0018672396	0.0017279406
var180	0.0018658084	0.0027181264
var304	0.0018575793	0.004113326
var342	0.001854284	0.0045404388
var22	0.0018411682	0.0020025105
var419	0.0018385604	0.003464526
var309	0.0018377635	0.0045038196
var166	0.0018341908	0.0029761165
var363	0.001832086	0.0041236915
var373	0.0018316585	0.0046178126
var347	0.0018315583	0.0038959496
var364	0.0018280724	0.0049306117
var101	0.0018132883	0.001858713
var187	0.0018014637	0.0032529498
var308	0.001797584	0.0024822105
var380	0.0017964937	0.0036196553
var99	0.0017958948	0.0018922483
var95	0.0017884858	0.0017513414
var88	0.0017876603	0.0019886387
var93	0.001781476	0.0019040812
var165	0.0017807181	0.0027550713
var161	0.0017736427	0.0028205323
var400	0.0017710811	0.005679502
var25	0.0017628395	0.0014588038
var292	0.0017547427	0.003241795
var306	0.0017499031	0.0042811558
var324	0.0017480229	0.003550545
var89	0.0017461154	0.0020204554
var330	0.0017437077	0.0042840717
var18	0.0017432587	0.0013098528
var105	0.0017392761	0.00224173
var111	0.0017361848	0.0015704039
var283	0.0017322694	0.002795372
var147	0.0017313774	0.0027179136
var216	0.0017313095	0.0028294509
var372	0.0017275079	0.00426658
var46	0.0017264255	0.0057992283
var138	0.0017264247	0.002202961
var224	0.0017224301	0.001710023
var329	0.0016987983	0.0050502927
var366	0.0016941736	0.0045095813
var266	0.0016925329	0.004924214
var256	0.0016919753	0.0044591
var145	0.0016867772	0.002250764
var126	0.0016858935	0.0021136284
var301	0.0016792784	0.004137247
var325	0.001675298	0.004087698
var69	0.0016724601	0.0015759625
var34	0.0016715592	0.0015576704
var317	0.0016708588	0.003639104
var123	0.0016703272	0.0017601416
var418	0.0016688318	0.003882368
var321	0.0016650942	0.0026086343
var121	0.0016647294	0.0017884359
var231	0.0016623694	0.0021177237
var154	0.0016595656	0.0018687133
var299	0.0016566506	0.003677498
var416	0.0016546452	0.0033853217
var396	0.0016540658	0.00420079
var349	0.0016527079	0.0034131375
var422	0.0016423744	0.0036444275
var209	0.0016413715	0.0031944439
var82	0.0016391092	0.0019573418
