y_train	preds
0.1833608483078719	0.15697955
-0.113191507280218	-0.110651
0.2680900927616119	0.11439195
-0.1837992109916681	-0.17140502
-0.2120422924762481	-0.21471713
-0.1696776702493781	-0.1623709
0.635250152061152	0.6134456
-0.2261638332185381	-0.18607229
-0.2261638332185381	-0.22231086
-0.1696776702493781	-0.1867279
0.2116039297924519	0.15699694
-0.2261638332185381	-0.19002657
-0.1273130480225081	-0.19902359
-0.1837992109916681	-0.1189845
-0.2261638332185381	-0.22451346
-0.014340722084188	-0.07078057
-0.2120422924762481	-0.15605822
-0.2120422924762481	-0.17125952
-0.1696776702493781	-0.122156695
-0.2261638332185381	-0.16837446
-0.1273130480225081	-0.14212796
-0.1273130480225081	-0.1505798
-0.1837992109916681	-0.12651737
2.6405089374663326	2.5860345
-0.2261638332185381	-0.1805285
-0.1837992109916681	-0.20543967
-0.1837992109916681	-0.19821353
-0.084948425795638	-0.026716629
-0.2120422924762481	-0.19915596
0.310454714988482	0.15995471
-0.1273130480225081	-0.12401714
0.0986316038541319	0.011529309
-0.2261638332185381	-0.1820734
-0.1696776702493781	-0.18097395
-0.1273130480225081	-0.15193436
0.903559426164662	0.7356741
1.002410211360692	0.94950426
-0.141434588764798	-0.15256664
-0.2261638332185381	-0.17216559
-0.042583803568768	-0.050794806
-0.099069966537928	-0.1646481
-0.2261638332185381	-0.17713271
0.0845100631118419	0.06492821
-0.155556129507088	-0.16815794
-0.1979207517339581	-0.16235957
-0.2261638332185381	-0.13859482
-0.1979207517339581	-0.190494
-0.2120422924762481	-0.14834194
-0.1979207517339581	-0.23255427
-0.099069966537928	-0.093532205
-0.2261638332185381	-0.21035583
-0.2120422924762481	-0.19529025
-0.1696776702493781	-0.17737192
-0.2120422924762481	-0.17554876
-0.1979207517339581	-0.20540905
-0.00021918134189807231	-0.037684113
-0.099069966537928	-0.06641863
-0.1837992109916681	-0.13908705
0.2680900927616119	0.05069788
-0.2120422924762481	-0.20952983
-0.056705344311058	-0.10221474
-0.1979207517339581	-0.13714357
-0.1273130480225081	-0.16601506
-0.2261638332185381	-0.2101569
-0.056705344311058	-0.10513234
-0.113191507280218	-0.1249345
-0.2261638332185381	-0.21331783
-0.1273130480225081	-0.12999108
